"politica";"chunk";"mediana_tempo_s";"variacao_pct";"speedup";"eficiencia";"mediana_balanceamento"
"static";"1";"1,929";"6,31";"6,1426";"0,7678";"1,021218"
"dynamic";"1";"2,09";"7";"5,6694";"0,7087";"1"
"static";"4";"2,304";"21,67";"5,1428";"0,6428";"1,016616"
"dynamic";"4";"2,318";"18,56";"5,1117";"0,639";"1,00033"
"dynamic";"16";"2,525";"0,83";"4,6927";"0,5866";"1,000198"
"static";"16";"2,614";"20,25";"4,5329";"0,5666";"1,021613"
"static";"64";"2,653";"5,3";"4,4663";"0,5583";"1,069085"
"dynamic";"64";"2,707";"7,92";"4,3772";"0,5471";"1,056877"
"guided";"4";"3,194";"3,2";"3,7098";"0,4637";"1,633282"
"guided";"1";"3,226";"6,24";"3,673";"0,4591";"1,619613"
"guided";"64";"3,528";"4,14";"3,3586";"0,4198";"1,606757"
"guided";"16";"3,531";"2,78";"3,3557";"0,4195";"1,600446"
